,주소,y,x
312,서울특별시 강동구 양재대로134길 52B1 전기실 앞,37.54739941,127.1464209
313,서울특별시 송파구 송파대로 167지하4층 112기둥옆,37.4846615,127.1209336
314,서울특별시 동작구 보라매로5가길 24지하4층,37.49069953,126.9239441
315,"서울특별시 동작구 상도로31길 19 (상도동, 브라운스톤상도아파트)",37.50623587,126.9445418
316,"서울특별시 동작구 사당로16아길 6 (사당동, 사당4동주민센터)(300-8 (사당4동주민센터))",37.48097575,126.9716337
317,"서울특별시 동작구 사당로2가길 219 (사당동, 사당5동주민센터)(228-11 (사당5동주민센터))",37.48566276,126.9669792
318,"서울특별시 동작구 사당로9가길 82 (사당동, 사당경남아너스빌아파트)",37.4882815,126.9671339
319,"서울특별시 강남구 학동로68길 30 (삼성동, 삼성동중앙하이츠빌리지)",37.51657975,127.0465099
320,서울특별시 강남구 학동로68길 30지하3층 주차장 기둥37,37.51657975,127.0465099
321,서울특별시 강남구 남부순환로 3104 주차장,37.49567866,127.071912
322,서울특별시 강남구 자곡로 201지하4층(더샵 라르고),37.47537759,127.1047139
323,서울특별시 강남구 헌릉로590길 63지하2층주차장,37.46104654,127.1015409
324,서울특별시 강남구 자곡로 174-10지하3층 B10기둥(자곡동 649),37.47267424,127.1030193
325,서울특별시 강남구 학동로 165지하2층주차장(58-2 마일스디오빌),37.51386117,127.0289785
326,서울특별시 강남구 언주로147길 9-11지하2층 출입구 정면 주차장,37.51920436,127.0341385
327,서울특별시 강남구 선릉로 130길 20지하주차장2층 95-96,37.51566608,127.0433438
328,서울특별시 강남구 개포로 621지하3층 주차장,37.49413139,127.0787831
329,서울특별시 강남구 선릉로 524지하3층 01기둥(140-3 선릉대림아크로텔),37.50665507,127.0483862
330,서울특별시 강남구 역삼로 251주차장(731 신한아트홀),37.49863107,127.0440226
331,서울특별시 강남구 도곡로21길 15지하1층(795-41 역삼동월드메르디앙아파트),37.49276828,127.0384301
332,"서울특별시 강남구 테헤란로 440지하2층 6I구역, 지하5층 5A구역",37.50581497,127.056131
333,서울특별시 강남구 영동대로 513서문 옥상 주차장,37.51182391,127.059159
334,서울특별시 강동구 아리수로93가길 77지하1층 107동쪽 O66기둥(215 강동리버스트6단지),37.56973609,127.1715778
335,서울특별시 강동구 성내로 39주차장,37.52945788,127.1253721
336,서울특별시 강동구 양재대로112길 77지하1층(401-1 길동하나플러스),37.53622292,127.1438934
337,서울특별시 강동구 올림픽로 667지하3층주차장,37.54113607,127.1239511
338,서울특별시 강동구 상암로41길 45지하주차장,37.54822575,127.140835
339,서울특별시 강동구 천호대로162길 34지하3층주차장,37.53557714,127.1279523
340,서울특별시 강동구 천호대로 1095지하7층(565 현대코아아파트),37.53594221,127.1336623
341,서울특별시 서초구 청계산로15길 77주차장,37.44935828,127.0583143
342,서울특별시 강남구 봉은사로 130 실외주차장,37.50528056,127.0289194
343,서울특별시 송파구 양재대로 932 지하3층 S13,37.49453769,127.1087136
344,서울특별시 송파구 양재대로 932 지하3층 I07,37.49453769,127.1087136
345,서울특별시 송파구 양재대로 932 친환경농산물집배송센터 지상주차장,37.49453769,127.1087136
346,서울특별시 송파구 법원로 135 지하3층 주차장 3A 구역,37.48698726,127.1183666
347,서울특별시 동작구 여의대방로 16길 55주차장,37.49467213,126.9177186
348,"서울특별시 동작구 상도로55길 47지하2층B2 09구역, 지하3층B2 19구역, 지하4층B2 39구역",37.49834009,126.9588505
349,서울특별시 동작구 신대방1나길 45지하1층주차장,37.48588021,126.9070485
350,서울특별시 송파구 마천로 287 1층주차장,37.49684218,127.1485343
351,서울특별시 서초구 청두곶길 36,37.47977264,126.9855596
352,서울특별시 강남구 양재천로 199,37.48342575,127.0470805
353,서울특별시 강남구 광평로34길 124 주차장,37.47974583,127.0878269
354,서울특별시 서초구 헌릉로 260 주차장,37.45571728,127.0688514
355,서울특별시 서초구 잠원로14길 32지하2층 91기둥(신반포 리오센트),37.51793353,127.0141425
356,서울특별시 서초구 서초대로38길 12지하5층 Q역,37.49049503,127.0053816
357,서울특별시 서초구 사평대로 273지하 2층 주차장,37.50509404,127.0133786
358,서울특별시 서초구 신반포로15길 16청사앞 야외주차장,37.50458659,126.9944715
359,서울특별시 서초구 신반포로 23길 78지하1층주차장,37.51204799,127.0056087
360,서울특별시 서초구 사평대로28길 70주차장,37.49748589,127.0003286
361,서울특별시 서초구 반포대로39길 64-5지하1층(반포 루이캐슬),37.49800162,127.0011479
362,서울특별시 서초구 효령로 29길 43지상주차장,37.48336166,126.9945139
363,서울특별시 서초구 방배로 40지하1층 주차장,37.47843876,126.9999966
364,서울특별시 서초구 방배로 173지하 2층 주차장,37.48900761,126.9922424
365,서울특별시 서초구 방배천로 11A동 지하6층 33구역(444-3 SK리더스뷰),37.47770076,126.9822361
366,"서울특별시 서초구 방배로26길 41지하1층 07번, 지하2층 08번, 지하3층 18번",37.49033392,126.9942334
