주소,y,x,수,코드
서울특별시 서대문구 영천동,37.57038793,126.9566822,47,11410108
서울특별시 서대문구 현저동,37.5737855,126.954072,90,11410109
서울특별시 서대문구 북아현동,37.55956524,126.9569012,329,11410110
서울특별시 서대문구 홍제동,37.5858458,126.9487252,578,11410111
서울특별시 서대문구 대현동,37.56076865,126.9472122,62,11410112
서울특별시 서대문구 대신동,37.56406497,126.9443304,12,11410113
서울특별시 서대문구 신촌동,37.56515088,126.9392769,10,11410114
서울특별시 서대문구 봉원동,37.5725932,126.9469639,5,11410115
서울특별시 서대문구 창천동,37.55868621,126.9341936,60,11410116
서울특별시 서대문구 연희동,37.57391001,126.9352308,402,11410117
서울특별시 서대문구 홍은동,37.59089081,126.9332187,527,11410118
서울특별시 서대문구 북가좌동,37.5780816,126.9103985,530,11410119
서울특별시 서대문구 남가좌동,37.57554738,126.9195484,653,11410120
서울특별시 마포구 아현동,37.55447244,126.9559128,405,11440101
서울특별시 마포구 공덕동,37.55017435,126.9600345,398,11440102
서울특별시 마포구 신공덕동,37.54371439,126.9555615,230,11440103
서울특별시 마포구 도화동,37.54154971,126.9498735,367,11440104
서울특별시 마포구 용강동,37.54227449,126.942776,156,11440105
서울특별시 마포구 토정동,37.53889606,126.9397825,18,11440106
서울특별시 마포구 마포동,37.53711407,126.9438255,91,11440107
서울특별시 마포구 대흥동,37.54989364,126.9434039,234,11440108
서울특별시 마포구 염리동,37.54706196,126.9456557,183,11440109
서울특별시 마포구 노고산동,37.55435262,126.9379095,28,11440110
서울특별시 마포구 신수동,37.54702066,126.9352269,199,11440111
서울특별시 마포구 현석동,37.54216196,126.9342896,109,11440112
서울특별시 마포구 구수동,37.54573613,126.9325393,10,11440113
서울특별시 마포구 창전동,37.54927364,126.9297704,232,11440114
서울특별시 마포구 상수동,37.54562693,126.9247768,134,11440115
서울특별시 마포구 하중동,37.54357453,126.9277797,38,11440116
서울특별시 마포구 신정동,37.5431616,126.9303329,24,11440117
서울특별시 마포구 당인동,37.54375306,126.9196278,14,11440118
서울특별시 마포구 서교동,37.55510931,126.9145907,228,11440120
서울특별시 마포구 동교동,37.55720853,126.9222617,66,11440121
서울특별시 마포구 합정동,37.55166181,126.9117564,190,11440122
서울특별시 마포구 망원동,37.55678566,126.9013473,366,11440123
서울특별시 마포구 연남동,37.56447761,126.9220232,163,11440124
서울특별시 마포구 성산동,37.56288276,126.9092848,548,11440125
서울특별시 마포구 중동,37.57166276,126.9055839,129,11440126
서울특별시 마포구 상암동,37.57832091,126.8946894,514,11440127
서울특별시 양천구 신정동,37.51855268,126.8543543,2323,11470101
서울특별시 양천구 목동,37.53043641,126.8709893,2154,11470102
서울특별시 양천구 신월동,37.53281582,126.8315359,1086,11470103
서울특별시 강서구 염창동,37.55373624,126.8709853,714,11500101
서울특별시 강서구 등촌동,37.56223748,126.8436708,953,11500102
서울특별시 강서구 화곡동,37.5362848,126.8489523,1980,11500103
서울특별시 강서구 가양동,37.56936733,126.8473234,1374,11500104
서울특별시 강서구 마곡동,37.57478595,126.8302052,4101,11500105
서울특별시 강서구 내발산동,37.55437376,126.8332664,501,11500106
서울특별시 강서구 외발산동,37.54384275,126.8208563,28,11500107
서울특별시 강서구 공항동,37.5588726,126.8101091,195,11500108
서울특별시 강서구 방화동,37.57130907,126.8118208,761,11500109
서울특별시 강서구 개화동,37.5913312,126.8108646,42,11500110
서울특별시 강서구 과해동,37.56560273,126.7877124,6,11500111
서울특별시 강서구 오곡동,37.55156768,126.7831169,0,11500112
서울특별시 강서구 오쇠동,37.54345974,126.7979184,2,11500113
서울특별시 구로구 신도림동,37.50778091,126.8806102,562,11530101
서울특별시 구로구 구로동,37.49577074,126.8826422,2276,11530102
